Word		Count
বন্ধু		1
যুদ্ধক্ষেত্র		1
অবস্থিত		1
কৃপাবিষ্ট		1
বিষণ্ণ		1
প্রিয়বর		1
এমন		1
যুদ্ধাভিলাষী		1
অবস্থান		1
অঙ্গ		1
প্রত্যঙ্গ		1
অবশ		1
মুখ		1
শুষ্ক		1
উঠ		1
সর্বশরীর		1
কম্পিত		1
রোমাঞ্চিত		1
াত		1
গাণ্ডীব		1
খস		1
পড়		1
ত্বক		1
জ্বল		1
কেশব		1
স্থি		1
থাক		1
আত্মবিস্মৃত		1
চিত্ত		1
উদ্ভ্রান্ত		1
কেশী		1
দানবন্তা		1
কেবল		1
অমঙ্গলসূচক		1
লক্ষণসমূ		1
শ্রেয়স্কর		1
জয়লাভ		1
গোবিন্দ		1
ধারণ		1
দেখছিযাদের		1
ভোগসুখ		1
রণক্ষেত্র		1
মধুসূদন		1
শ্যালক		1
আত্মীয়স্বজন		1
প্রাণ		1
ধনাদির		1
আশা		1
পরিত্যাগ		1
ছেন		1
চাইব		1
জীব		1
প্রতিপালক		1
ত্রিভুবন		1
বিনিময়		1
ন		1
সন্তোষ		1
ধরন		1
আততায়ী		1
আচ্ছন্ন		1
সং		1
অবশ্য		1
মাধব		1
লক্ষ্মীপতি		1
শ্ৰীকৃষ্ণ		1
কেমন		1
সুখী		1
রাজ্যলোভ		1
মিত্রদ্রো		1
নিমিত্ত		1
পাপ		1
পাপকর্ম		1
সনাতন		1
কুলবধূগণ		1
ব্যভিচার		1
বায়ে		1
কুলস্ত্রীগণ		1
অসৎ		1
চরিত্		1
প্রজাত		1
উৎপন্ন		1
বর্ণসঙ্কর		1
কুলঘাতকেরা		1
নরকগামী		1
পিণ্ডদান		1
তর্পণক্রিয়া		1
লোপ		1
পাওয়		1
পিতৃপুরুষেরাও		1
অধঃ		1
পতিত		1
ঐতি্য		1
নষ্ট		1
সন্তানাদি		1
কুকর্মজনিত		1
সর্বপ্রকার		1
জাতী		1
উন্নয়ন		1
প্রকল্প		1
কল্যাণ		1
ধর্ম		1
উৎসন্ন		1
যা		1
পরম্পরাক্রমে		1
শুনেছি		1
ছে		1
নিয়ত		1
বাস		1
ায়		1
আশ্চর্য		1
বিষয়		1
রাজ্যসুখের		1
লোভ		1
উদ্যত		1
সংকল্পবদ্ধ		1
ছি		1
প্রতিরোধ		1
রিত		1
নিরস্ত্		1
অবস্থা		1
শস্ত্রধারী		1
অধিকত		1
মঙ্গল		1
বললেনরণক্ষেত্রে		1
ধনুর্বাণ		1
শো		1
ভারাক্রান্ত		1
চিত্		1
রথোপরি		1
উপবেশন		1
